 sales_id | date_key | customer_id | product_id | quantity | unit_price 
----------+----------+-------------+------------+----------+------------
        1 | 20210101 |         112 |         59 |        5 |       3143
        2 | 20210101 |         100 |         15 |        1 |       3004
        3 | 20210101 |          53 |         50 |        1 |        445
        4 | 20210101 |         126 |         71 |        3 |        484
        5 | 20210101 |          10 |         20 |        3 |       4048
        6 | 20210102 |         144 |         46 |        1 |        927
        7 | 20210102 |          91 |          4 |        3 |       2514
        8 | 20210102 |         199 |          4 |        1 |        709
        9 | 20210102 |         158 |         60 |        5 |       2906
       10 | 20210102 |         122 |         62 |        1 |       2701
       11 | 20210102 |         175 |         44 |        2 |        125
       12 | 20210102 |          86 |          3 |        3 |        212
       13 | 20210102 |         162 |         11 |        1 |       4682
       14 | 20210102 |         168 |          4 |        2 |        528
       15 | 20210103 |         168 |         44 |        4 |       4743
       16 | 20210103 |         197 |         52 |        5 |       2570
       17 | 20210103 |         124 |         79 |        4 |       2176
       18 | 20210103 |         137 |         58 |        3 |       4464
       19 | 20210103 |         115 |         34 |        5 |       2514
       20 | 20210103 |         110 |         16 |        3 |       2873
       21 | 20210104 |         112 |         72 |        3 |       1002
       22 | 20210105 |          29 |          1 |        2 |       1453
       23 | 20210105 |         181 |         84 |        1 |       2310
       24 | 20210105 |          84 |         47 |        3 |       3828
       25 | 20210105 |         186 |         57 |        3 |       3984
       26 | 20210106 |          79 |         47 |        4 |       2176
       27 | 20210106 |          33 |          4 |        5 |        938
       28 | 20210106 |          11 |         21 |        5 |        886
       29 | 20210106 |          36 |         58 |        1 |       4726
       30 | 20210106 |          73 |         53 |        4 |       4270
       31 | 20210106 |          42 |         34 |        3 |       3861
       32 | 20210107 |          11 |         46 |        2 |       3160
       33 | 20210107 |         111 |         60 |        1 |       1243
       34 | 20210108 |           9 |         42 |        5 |        984
       35 | 20210108 |         190 |         59 |        1 |        506
       36 | 20210108 |         102 |         61 |        3 |       3375
       37 | 20210108 |          36 |          4 |        2 |       1292
       38 | 20210108 |          86 |         41 |        3 |       3432
       39 | 20210108 |         183 |         11 |        3 |       2015
       40 | 20210108 |         166 |         44 |        2 |       1717
       41 | 20210108 |           1 |         46 |        1 |       1500
       42 | 20210108 |          11 |         83 |        5 |       4797
       43 | 20210108 |          70 |         72 |        1 |       2428
       44 | 20210109 |         187 |         83 |        1 |       4009
       45 | 20210109 |           1 |         42 |        3 |        325
       46 | 20210109 |         173 |         41 |        1 |       2982
       47 | 20210109 |         189 |         71 |        3 |        881
       48 | 20210109 |           7 |         32 |        2 |       4446
       49 | 20210109 |         179 |         46 |        5 |        690
       50 | 20210109 |          33 |         31 |        3 |       1396
       51 | 20210109 |         165 |         59 |        5 |        558
       52 | 20210110 |         132 |         44 |        5 |       4309
       53 | 20210110 |         175 |         61 |        5 |       4168
       54 | 20210110 |          21 |         19 |        3 |       1233
       55 | 20210110 |          70 |         49 |        3 |       4620
       56 | 20210110 |          31 |         82 |        2 |        146
       57 | 20210110 |         151 |         56 |        3 |       1621
       58 | 20210110 |          45 |         76 |        3 |       2576
       59 | 20210110 |         188 |         21 |        2 |       4250
       60 | 20210110 |          74 |          3 |        1 |        140
       61 | 20210111 |          53 |         45 |        4 |         90
       62 | 20210111 |          91 |         27 |        1 |       2254
       63 | 20210111 |          89 |         60 |        5 |       2842
       64 | 20210111 |         139 |         72 |        3 |       3128
       65 | 20210111 |         152 |         19 |        5 |       1517
       66 | 20210111 |          82 |         40 |        3 |       2984
       67 | 20210111 |          85 |         57 |        2 |       2051
       68 | 20210111 |          70 |         47 |        2 |       1755
       69 | 20210111 |         140 |         46 |        3 |       3019
       70 | 20210112 |         104 |          7 |        1 |       4620
       71 | 20210112 |         144 |          2 |        1 |        680
       72 | 20210112 |           2 |         62 |        5 |       3095
       73 | 20210112 |          20 |         47 |        1 |       1769
       74 | 20210112 |         133 |         26 |        1 |       2292
       75 | 20210112 |          25 |         83 |        3 |       3791
       76 | 20210112 |         125 |          4 |        4 |       4433
       77 | 20210112 |         155 |         60 |        5 |       4439
       78 | 20210113 |         128 |         49 |        3 |       3546
       79 | 20210113 |         122 |         58 |        2 |       4383
       80 | 20210113 |          52 |          3 |        3 |       2596
       81 | 20210113 |          49 |          2 |        4 |       3580
       82 | 20210113 |         157 |         21 |        3 |       4440
       83 | 20210113 |         167 |         65 |        4 |       4010
       84 | 20210113 |          43 |         72 |        2 |       2125
       85 | 20210113 |          82 |         42 |        4 |       1617
       86 | 20210113 |         137 |         71 |        5 |       4074
       87 | 20210113 |          71 |         44 |        5 |       1285
       88 | 20210113 |         106 |         20 |        4 |       3906
       89 | 20210113 |         127 |         34 |        1 |       3522
       90 | 20210114 |         156 |         43 |        1 |        680
       91 | 20210114 |         200 |         44 |        4 |       1912
       92 | 20210114 |          28 |         24 |        3 |       4418
       93 | 20210114 |          51 |         31 |        2 |       4701
       94 | 20210114 |         120 |         44 |        1 |       3228
       95 | 20210114 |         122 |         40 |        1 |       4259
